PROMOVAT,Product Name,Price (lei),Negociabil,Used,Location
1,Placa video Palit GeForce® RTX3070 GameRock,1600,1,1,"Bucuresti, Sectorul 5"
1,Placa video Palit GTX 1660 Ti StormX 6GB DDR,6700,1,1,Vaslui
1,Placa video PowerColor Radeon RX 6900 XT 16GB GDDR6 256-bit,2000,0,1,"Bucuresti, Sectorul 2"
0,Nvidia GTX 1060 3GB,325,0,1,"Bucuresti, Sectorul 5"
0,"Placa video Sapphire NITRO+  RX 580 8GB GDDR5 256-bit, ATI  Radeon",350,1,1,Ramnicu Valcea
0,MSI GeForce RTX 3060 Ti GAMING Z TRIO LHR 8GB GDDR6 256-bit,2100,1,1,Barateaz
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăPlaca video ASUS GT 710 4H 2GB GDDR5 64-bit.,140,0,1,"Bucuresti, Sectorul 4"
0,Vand placa video Radeon R737,300,0,1,Timisoara
0,Asus gtx 970 4gb placa video gaming,300,0,1,Iasi
0,"Placa video 3060 MSI Gaming X Trio 12Gb ddr6, 192 biti",1290,0,1,"Bucuresti, Sectorul 6"
0,"Placa video, Powercolor, AMD RADEON HELLHOUND RX 7900 GRE, 16 GB",2500,0,0,Iasi
0,nVidia RTX 2060 Gaming Z,900,1,0,Brasov
0,3x6 Radeon RX5700xt Triple + Mini Rig 330Mhs1,9906,1,1,"Ilfov, Voluntari"
1,nVidia RTX A2000 6GB - placa video profesionala noua SFF low profile,1100,0,0,Corbeanca
1,"Placa Video Gigabyte 4070 super  windforce, oc edition, sigilata",3000,0,0,Constanta
1,Placa video nVidia Quadro K200,160,0,1,Timisoara
0,Nvidia QUADRO K5200 sau schimb cu 1080ti,900,1,1,Maneciu
0,Nvidia GTX 1660Ti Aorus 6Gb,650,0,1,Focsani
0,Placa Video GTX 1080-8Gb,1500,1,1,"Bucuresti, Sectorul 6"
0,Placa video Gigabyte GeForce RTX 3080 Ti Gaming OC N308TGAMING OC-12G,2800,0,1,"Bucuresti, Sectorul 3"
0,Placa video liquid,2900,0,0,Deva
