PROMOVAT,Product Name,Price (lei),Negociabil,Used,Location
1,Palit GeForce® RTX3070 GameRock,1600,1,1,"Bucuresti, Sectorul 5"
1,Palit GTX 1660 Ti StormX 6GB DDR,6700,1,1,Vaslui
1,PowerColor Radeon RX 6900 XT 16GB GDDR6 256-bit,2000,0,1,"Bucuresti, Sectorul 2"
0,Nvidia GTX 1060 3GB,325,0,1,"Bucuresti, Sectorul 5"
0,"Sapphire NITRO+  RX 580 8GB GDDR5 256-bit, ATI  Radeon",350,1,1,Ramnicu Valcea
0,MSI GeForce RTX 3060 Ti GAMING Z TRIO LHR 8GB GDDR6 256-bit,2100,1,1,Barateaz
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăASUS GT 710 4H 2GB GDDR5 64-bit.,140,0,1,"Bucuresti, Sectorul 4"
0,Radeon R737,300,0,1,Timisoara
0,Asus gtx 970 4gb gaming,300,0,1,Iasi
0,"3060 MSI Gaming X Trio 12Gb ddr6, 192 biti",1290,0,1,"Bucuresti, Sectorul 6"
0,", Powercolor, AMD RADEON HELLHOUND RX 7900 GRE, 16 GB",2500,0,0,Iasi
0,nVidia RTX 2060 Gaming Z,900,1,0,Brasov
0,3x6 Radeon RX5700xt Triple + Mini Rig 330Mhs1,9906,1,1,"Ilfov, Voluntari"
1,nVidia RTX A2000 6GB - profesionala noua SFF low profile,1100,0,0,Corbeanca
1,"Gigabyte 4070 super  windforce, oc edition, sigilata",3000,0,0,Constanta
1,nVidia Quadro K200,160,0,1,Timisoara
0,Nvidia QUADRO K5200 sau schimb cu 1080ti,900,1,1,Maneciu
0,Nvidia GTX 1660Ti Aorus 6Gb,650,0,1,Focsani
0,GTX 1080-8Gb,1500,1,1,"Bucuresti, Sectorul 6"
0,Gigabyte GeForce RTX 3080 Ti Gaming OC N308TGAMING OC-12G,2800,0,1,"Bucuresti, Sectorul 3"
0,liquid,2900,0,0,Deva
0,Gigabyte 9600 GT,60,0,1,"Bucuresti, Sectorul 6"
0,Asus Vid Card GTX950 2GB 128bit GDDR,5450,0,1,"Bucuresti, Sectorul 6"
0,Asus,300,1,1,Timisoara
0,Gigabyte Radeon RX 6600 XT Gaming OC 8 GB,1650,0,0,Tecuci
0,Laptop Gaming MSI Garantie RTX 4050 Ca NOU 144Hz 16GB 512GB SSD,2999,0,0,"Bucuresti, Sectorul 6"
1,nVidia Quadro NVS 510 2GB DDR3 128 bit HDMI,100,0,1,"Bucuresti, Sectorul 3"
1,4080 Super Rog Strix OC,6900,1,0,Slanic
1,HP nVidia Quadro 2000 PROFESIONALA 1 GB DDR5/128bit PCI-E x,1675,0,1,Bistrita
0,"GeForce 210, 1GB DDR3 64-Bit, DVI, HDMI,VGA",150,1,1,Huedin
0,"Lot 7 defecte RX580, GTX1060, 970, Quaddro",400,0,1,Iasi
0,GIGABYTE rtx 4060 16gb,2300,0,0,Baia Mare
0,"Sapphire AMD Radeon RX 5600 XT, 6GB, GDDR6",1000,1,1,"Bucuresti, Sectorul 2"
0,Gtx 730 4gb DDR3 128-bit V,2375,1,1,Craiova
0,Asus ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X,4190,0,1,Cluj
0,"Asus ROG STRIX RX VEGA 56 GAMING, 8 GB, 2048-bit",650,1,1,Motru
0,rx 570 xfx 8gb,250,0,1,Ploiesti
1,Asus ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X,4190,0,1,Cluj
1,Sapphire Radeon RX 7700 XT Pulse,1899,0,1,Targu Neamt
1,Asus Dual Oc RTX 3060 Ti Factura Garantie (pcgarage) proba video,1500,0,1,Vaslui
0,"ASUS GeForce GTX 1050 Ti 4Gb+ HyperX Fury 4GB, DDR4,",430,0,1,"Bucuresti, Sectorul 6"
0,"Gainward GeForce RTX 2060 Ghost, 6GB GDDR6, 192 biti",1500,1,1,Bacau
0,amd radeon,350,0,1,Petrila
0,RadeonRX 6700XT Hellhound 12GB GDDR6-192Bit Sigilata(noua),1899,0,0,Ramnicu Valcea
0,GeForce GT 240 1gb 128 bit PCI-E,140,0,1,"Bucuresti, Sectorul 3"
0,/GPU Sapphire NITRO Radeon R9 FURY 4GB HBM,400,0,1,Cluj
0,"RX480, 4gb",250,0,1,Cluj
0,AMD Radeon HD5570 pcie 1GB Ddr3 hdmi,50,0,1,"Bucuresti, Sectorul 3"
0,asus,300,0,1,Cornesti
0,gigabyte,100,0,1,Brad
1,ASUS ROG Strix GeForce RTX 3070 TI OC Edition aproape nou,1750,0,1,Targu Jiu
1,ASUS RX570 4Gb EXPEDITION,250,0,1,Cluj
1,XFX AMD Radeon™ RX 580 GTS XXX Edition 8GB,745,0,0,"Bucuresti, Sectorul 3"
0,( se pot repara ),2500,0,1,"Bucuresti, Sectorul 6"
0,as rock radeon 6500xt,500,0,1,"Bucuresti, Sectorul 5"
0,FX5200 AGP8X 128MB,323,1,1,Mihaiesti
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăGeForce GTX 750 4 Gb DDR,4200,1,1,Sibiu
0,"MSI Radeon RX 5500 XT MECH OC, 8GB GDDR6, 128-bit",800,1,1,Calugari
0,Dell UJ973 ATI Radeon X1300 PRO 256MB DDR2 PCIe x,1650,0,1,"Bucuresti, Sectorul 2"
0,Radeon 7900 XTX 24GB GDDR6 Sigilata,3300,0,0,"Bucuresti, Sectorul 6"
0,MSI GeForce GTX 560 SE OC 1GB GDDR5  cu transport tot,90,0,1,Carei
0,Rtx 3070 8gb,1900,0,1,Novaci
1,materiale pentru containere modulare,250,0,0,Piatra Neamt
1, MSI RTX 3080Ti X Trio,3180,1,1,Alexandru cel Bun
1,"AMD ASUS RX 7600 Dual, OC, 8GB, Garanție Emag 3 ani",999,0,0,Cluj
0,rx 580 rx570 rx47,500,0,1,Falticeni
0,Gigabyte RTX 4060Ti Eagle 8GB GDDR6 SIGILATA,1900,0,0,Iasi
0,GeForce GTX 1080 Ti Aorus Xtreme Edition 11 GB,950,0,1,"Bucuresti, Sectorul 2"
0,Cutie rtx30,7050,0,1,"Bucuresti, Sectorul 6"
0,"MSI nVidia GeForce RTX 4060 Ti GAMING X 8GB GDDR6 128bit, Nou, Sigilat",1599,0,0,"Bucuresti, Sectorul 3"
0,Sapphire Nitro+  Radeon RX580 8gb,600,1,1,"Bucuresti, Sectorul 4"
0,Nvidia GEFORCE RTX 3060 Ti/8 gb,1400,0,0,Nicolae Balcescu
0,Gigabyte Vision GeForce rtx 3080 sg 10GB,1800,0,1,"Bucuresti, Sectorul 4"
0,Sapphire RX 6600 GAMING 8GB GDDR6 ca noua﻿ garantie 3 luni,875,0,1,"Bucuresti, Sectorul 6"
0,"AMD RX 7900 XTX Sapphire Nitro+, Vapor-x",4700,0,1,Cluj
1,Gigabyte GeForce RTX 3080 Ti Gaming OC N308TGAMING OC-12G,2800,0,1,"Bucuresti, Sectorul 3"
1,Gigabyte RTX 4060Ti Eagle 8GB GDDR6 SIGILATA,1900,0,0,Iasi
0,PCI express HIS ATI Radeon HD4670 heatpipe Zalman,200,0,1,"Bucuresti, Sectorul 6"
0,"HP Nvidia Quadro RTX 4000, 8 Gb, 3 DP, USBC",1700,0,0,Sibiu
0,GPU Nvidia: GeForce3,1045,0,1,Cluj
0,rtx3060ti,1700,1,1,"Bucuresti, Sectorul 4"
0,pc Nvidia Quadro M4000 8GB Hp 818241-001 818867-001 4xDP,650,0,1,"Bucuresti, Sectorul 4"
0,Asus Rtx 3060 Dual Oc 8GB GDDR6 128-bit,1249,0,0,"Bucuresti, Sectorul 3"
0,Gainward GeForce GTX 1050ti,250,1,1,Iasi
0,MSI Radeon RX 580 Armor OC 8GB DDR5 256-bit,309,0,1,Brasov
0,Gigabyte RTX 3080 AORUS RGB Xtreme Waterforce 10GB GPU ,4000,0,1,Iasi
0,NVIDIA GTX-1060 3 GB 3 video : HDMI DVI DisplayPort GAMING,350,0,1,"Bucuresti, Sectorul 2"
1,Inno3D GeForce RTX 4090 iCHILL X3 24GB GDDR6X,7000,0,1,Timisoara
1,Sapphire Radeon RX 7700 XT Pulse,1899,0,1,Targu Neamt
1,PowerColor Radeon RX 6900 XT 16GB GDDR6 256-bit,2000,0,1,"Bucuresti, Sectorul 2"
0,Asus Rtx 3060 Ti 8GB Gddr6x dual oc 256 biti,1579,0,0,"Bucuresti, Sectorul 2"
0,Rx58,349,0,1,Turda
0,Sapphire Radeon RX 5500 XT PULSE 4GB GDDR6 128-bit,550,0,1,Cluj
0,si rami,200,0,1,Pascani
0,Nvidia Vanta 16mb,40,0,1,Sibiu
0,GTX 970 g1 gaming,400,0,1,Galati
0,CALCULATOR GAMING i5 16 GB RAM 750GB 8GB Garantie 12 Luni,1280,0,1,"Bucuresti, Sectorul 3"
0,nVidia Quadro NVS 510 2GB DDR3 128 bit HDMI,100,0,1,"Bucuresti, Sectorul 3"
0,ASUS ROG STRIX GTX 1070TI 8GB pe 256 biti ca noua,950,0,1,Iasi
0,2Gb GDDR,5150,0,1,Pitesti
1,nVidia Quadro NVS 510 2GB DDR3 128 bit HDMI,100,0,1,"Bucuresti, Sectorul 3"
1,Palit GeForce RTX 3080 10gb,2000,0,1,"Bucuresti, Sectorul 4"
0,Asus strix 1070ti,600,0,1,"Bucuresti, Sectorul 6"
0,Palit Geforce GTX107,680,1,1,"Bucuresti, Sectorul 1"
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăGIGABYTE GV-R925128DE,90,0,1,Bacau
0,Sapphire Radeon R7 260X OC 2GB GDDR5 128-bit,200,0,1,Oradea
0,Palit JetStream Geforce GTX107,700,1,1,"Bucuresti, Sectorul 1"
0,"gaming Saphire RX 580 8GB ,Nitro Special Edition",400,1,1,Pucioasa
0,Asus AD-RV610LE ATI Radeon HD2400 Pro 128MB DDR2 PCI-E,30,0,1,"Bucuresti, Sectorul 2"
0,1050ti cerberus,450,0,1,Ploiesti
0,"gaming  RX 5700XT Nitro+ Saphire , OFERTA",900,1,1,Pucioasa
1,Gigabyte GTX 1080 ti Waterforce WB Extreme Edition 11G Aorus,2000,1,0,Runcu
1,RX 5600XT,600,1,1,Brasov
0,GTX 1650 OC zotec gaming,500,1,1,Oradea
0, MSI RTX 3080Ti X Trio,3180,1,1,Alexandru cel Bun
0,GeForce GTX Gigabyte 1080Ti Aorus 11GB 352-bit,1700,0,1,"Bucuresti, Sectorul 6"
0,Editor video Premiere Pro/After Effects,100,1,0,Suceava
0,RTX 3070 Palit Gamerock,2000,0,1,Pitesti
0,Placa NVIDIA Geforce RTX 3090 TURBO 24GB,4000,1,1,"Bucuresti, Sectorul 6"
0,Nvidia rtx 2070 super oc,1100,0,1,Constanta
0,"Placa de captura video, RoHS STD , HDMI la USB 2.0, 1080p 60 FPS",250,0,0,Vaslui
1,Gigabyte RTX 4060Ti Eagle 8GB GDDR6 SIGILATA,1900,0,0,Iasi
1,"Gaming ASUS nvidia GeForce 1050 , 2GB GDDR5 128 Bit GDDR",5250,0,1,"Bucuresti, Sectorul 3"
